epoch,acc,loss,val_acc,val_loss
0,0.10026416906820365,16.788042348506853,0.1,15.29524800567627
1,0.062199807877041303,16.168845878134466,0.0492,16.055381341552735
2,0.1326248799231508,14.628103199426539,0.1385,14.440069450378418
3,0.13570685238552674,14.420160403207369,0.1381,14.35870576171875
4,0.07168587896253602,15.433732615118792,0.0609,15.518269259643555
5,0.08315321805955812,15.144392409005533,0.0923,14.928489179992676
6,0.10912984309958373,14.757256357325524,0.1182,14.631938087463379
7,0.11707492795389049,14.574417659650809,0.1181,14.495111587524415
8,0.12626080691642652,14.5207282437982,0.1326,14.41606997833252
9,0.1359069804674992,14.28445918980677,0.1331,14.265933874511719
10,0.12337896253602305,14.46645238114747,0.14,14.135965545654297
11,0.13594700608389368,14.180952741822638,0.1318,14.24169436187744
12,0.08537463976945245,14.991874844150745,0.1066,14.6824669921875
13,0.12700128081972462,14.324049381350157,0.128,14.237365536499023
14,0.1266410502721742,14.22046018448389,0.1279,14.168198466491699
15,0.12451969260326609,14.247122438756312,0.1197,14.309509719848633
16,0.11371277617675313,14.506546188461982,0.1084,14.531638343811036
17,0.10870957412744156,14.563173164895357,0.1023,14.68008677368164
18,0.11071085494716619,14.535005245153773,0.1314,14.25150425415039
19,0.13338536663464617,14.203966640945128,0.1423,14.17785108642578
20,0.10652817803394173,14.725256036727275,0.0567,15.473374551391602
21,0.05527537624079411,15.444059963146922,0.0567,15.38420810546875
22,0.0792907460774896,15.111933502065344,0.0739,15.246626428222656
23,0.07044508485430676,15.229622587117865,0.0737,15.119957717895508
24,0.10981027857829011,14.642735877634049,0.0831,15.117558004760742
25,0.08053154018571886,15.076532377022565,0.0831,14.974551936340331
26,0.07891050272174191,15.003689181755034,0.0825,14.91431796875
27,0.0801112712135767,14.930903066781099,0.0833,14.86044758605957
28,0.13056356067883446,14.117224601381603,0.1331,14.047156970214843
29,0.08247278258085175,14.991675943661072,0.0824,14.909065492248535
30,0.07684918347742556,15.079701121938255,0.0811,14.94506240234375
